longitude;latitude;observationId;Temperatura_Media_Anual_GrausC;Precipitacao_Media_Anual_mm;Temperatura_Media_Janeiro_GrausC;Temperatura_Media_Fevereiro_GrausC;Temperatura_Media_Marco_GrausC;Temperatura_Media_Abril_GrausC;Temperatura_Media_Maio_GrausC;Temperatura_Media_Junho_GrausC;Temperatura_Media_Julho_GrausC;Temperatura_Media_Agosto_GrausC;Temperatura_Media_Setembro_GrausC;Temperatura_Media_Outubro_GrausC;Temperatura_Media_Novembro_GrausC;Temperatura_Media_Dezembro_GrausC;Precipitacao_Media_Janeiro_mm;Precipitacao_Media_Fevereiro_mm;Precipitacao_Media_Marco_mm;Precipitacao_Media_Abril_mm;Precipitacao_Media_Maio_mm;Precipitacao_Media_Junho_mm;Precipitacao_Media_Julho_mm;Precipitacao_Media_Agosto_mm;Precipitacao_Media_Setembro_mm;Precipitacao_Media_Outubro_mm;Precipitacao_Media_Novembro_mm;Precipitacao_Media_Dezembro_mm;Capacidade_Armazenamento_Agua_mm;Teor_Argila_Subsolo_%;Teor_Cascalho_Subsolo_%;Teor_Carbono_Organico_Subsolo_%;Teor_Areia_Subsolo_%;Teor_Silte_Subsolo_%;Teor_Argila_Cam_Superior_%;Teor_Cascalho_Cam_Superior_%;Teor_Carbono_Organico_Cam_Superior_%;Teor_Areia_Cam_Superior_%;Teor_Silte_Cam_Superior_%;Classificacao_Clima_KoeppenGeiger;Isotermalidade;Sazonalidade_Temperatura
-41.75;-22.38;21787.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-43.98;-22.95;22606.0;23.1;1377.0;25.0;26.0;25.0;23.0;22.0;20.0;20.0;21.0;21.0;22.0;23.0;24.0;18.0;15.0;16.0;13.0;8.0;4.0;4.0;5.0;8.0;10.0;12.0;19.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;20.13
-43.98;-22.95;22607.0;23.1;1377.0;25.0;26.0;25.0;23.0;22.0;20.0;20.0;21.0;21.0;22.0;23.0;24.0;18.0;15.0;16.0;13.0;8.0;4.0;4.0;5.0;8.0;10.0;12.0;19.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;20.13
-42.21;-22.93;22637.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22638.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22639.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.33;-22.78;22640.0;23.0;936.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;23.0;24.0;10.0;8.0;9.0;9.0;7.0;4.0;4.0;4.0;5.0;8.0;10.0;12.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;18.12
-42.33;-22.78;22641.0;23.0;936.0;25.0;25.0;25.0;23.0;22.0;21.0;20.0;20.0;21.0;22.0;23.0;24.0;10.0;8.0;9.0;9.0;7.0;4.0;4.0;4.0;5.0;8.0;10.0;12.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.56;18.12
-42.21;-22.93;22642.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22643.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22644.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22645.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22646.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22647.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22648.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22649.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.21;-22.93;22650.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.51;-22.86;23023.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.51;-22.86;23024.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.51;-22.86;23025.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.51;-22.86;23026.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
